Company,Project,Cost,URL,rate_card_id
Capgemini UK plc,Security Consultant,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/346313457852497,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Adatis,Azure Synapse Serverless SQL Pools,"495 to 1,595 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/855550779795288,Adatis_328689946610675-sfia-rate-card-2022-05-13-0855.pdf
Alchemmy Consulting Ltd,Digital Supply Chain Optimisation,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/166409757578237,AlchemmyConsultingLtd_906112248088348-sfia-rate-card-2022-05-18-0956.pdf
Infosys Limited,DevSecOps consulting and implementation service,200 to 850 a unit,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/507837019352981,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001.pdf
Slalom Consulting,Product Innovation Strategy,"636 to 1,938 a user a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/205479352917044,n/a
CREDERA LIMITED,Strategic Cloud Architecture,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/517455484517352,n/a
Adatis,Data Platform Managed Service,"1,750 an instance a month",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/854665841758849,n/a
Capgemini UK plc,Digital Culture Maturity Assessment and Delivery,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/154746674654365,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Infosys Limited,Infosys Application  & Database Migration Service,200 to 850 a unit,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/752504824752883,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001.pdf
Tata Consultancy Services Limited,TCS Salesforce DevOps Managed Services,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/142137482473468,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
Alchemmy Consulting Ltd,Design Thinking (RAPIDS) as a service,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/701214512802940,AlchemmyConsultingLtd_906112248088348-sfia-rate-card-2022-05-18-0956.pdf
Cognizant Worldwide Limited,Nuxeo Setup and Migration Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/717091436673989,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
CREDERA LIMITED,User Experience (UX) Design,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/745791939891631,n/a
Cognizant Worldwide Limited,Population Health Intelligence,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/241166441567411,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
Alchemmy Consulting Ltd,Cloud Migration,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/439564498697203,AlchemmyConsultingLtd_906112248088348-sfia-rate-card-2022-05-18-0956.pdf
Adatis,Power BI as a Service,"1,750 an instance a month",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/107598033648056,n/a
Infosys Limited,Infosys Conversational AI Suite,"150,000 a licence",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/676387445860563,n/a
Slalom Consulting,Employee Experience Strategy,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/556901244188525,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
Tata Consultancy Services Limited,TCS Microsoft PowerBI Migration Factory,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/380796924758051,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
Capgemini UK plc,SAP UI Smart Cloud Application Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/412787415779604,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
CREDERA LIMITED,Effective Cloud Architecture,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/882709470576043,n/a
Capgemini UK plc,IRM Incident Response Exercising,"650 to 1,250 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/988291603993754,n/a
Slalom Consulting,Discovery as a Service,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/833614747166653,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
Cognizant Worldwide Limited,Microsoft Azure Consultancy,"1,500 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/767825452381586,CognizantWorldwideLimited_198386448262515-sfia-rate-card-2022-05-10-1509.pdf
Tata Consultancy Services Limited,TCS iDataGov for Azure,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/172530494386838,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
Alchemmy Consulting Ltd,Realising Digital Transformation,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/123031341529640,AlchemmyConsultingLtd_906112248088348-sfia-rate-card-2022-05-18-0956.pdf
Infosys Limited,Infosys XR Platform,100 to 200 a licence a year,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/821237803069798,n/a
Adatis,Azure Data Engineering,"495 to 1,595 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/847220565973866,Adatis_328689946610675-sfia-rate-card-2022-05-13-0855.pdf
CREDERA LIMITED,Cloud Migration Service,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/514456667923707,n/a
Cognizant Worldwide Limited,Analytics Support Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/324713521906828,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
Infosys Limited,Infosys Automated Performance Assurance - iAPA,513 to 995 a unit,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/315013905376039,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826.pdf
Capgemini UK plc,Oracle Intelligent Supply Chain – Procurement (Source to Settle),312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/261104747528655,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Slalom Consulting,Cloud Inspired Operating Model Design,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/292012943867676,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
Adatis,Enterprise Data Warehouse,"495 to 1,595 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/991077197117012,Adatis_328689946610675-sfia-rate-card-2022-05-13-0855.pdf
Tata Consultancy Services Limited,TCS Cyber Security - Identity and Access Management,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/683008241644296,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
Alchemmy Consulting Ltd,Digital & Cloud Investment Appraisal,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/483672913794804,AlchemmyConsultingLtd_906112248088348-sfia-rate-card-2022-05-18-0956.pdf
CREDERA LIMITED,Innovation Service,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/151378158962219,n/a
Tata Consultancy Services Limited,TCS Oracle Enterprise Performance Reporting Cloud Services,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/418520950392566,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
Adatis,Power BI Premium,"495 to 1,595 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/632497257643980,Adatis_328689946610675-sfia-rate-card-2022-05-13-0855.pdf
Infosys Limited,Infosys API Test Automation - IATA (earlier iFAST),"60,000 a licence a year",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/423173408688737,n/a
Cognizant Worldwide Limited,Quality Assurance Testing Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/244820986354844,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
Capgemini UK plc,SAP Data Cloud,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/180722145074696,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Alchemmy Consulting Ltd,"Operational Efficiency, Cost Management & Optimisation","435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/574236578520214,AlchemmyConsultingLtd_906112248088348-sfia-rate-card-2022-05-18-0956.pdf
Slalom Consulting,"Cloud Foundations, Planning and Controls","636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/456198865456309,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
CREDERA LIMITED,Machine Learning Model Development & Deployment (MLOps),"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/101117184239380,n/a
Tata Consultancy Services Limited,"TCS Cloud Readiness Assessment Services for the NHS, Health, and Social Care",127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/165304023604191,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
Cognizant Worldwide Limited,Digital Marketing & Content Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/113657094041945,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
Alchemmy Consulting Ltd,Technical Assurance for Digital & Cloud Solutions,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/158470403394149,AlchemmyConsultingLtd_906112248088348-sfia-rate-card-2022-05-18-0956.pdf
Adatis,Azure Cognitive Search,"495 to 1,595 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/915169474967936,Adatis_328689946610675-sfia-rate-card-2022-05-13-0855.pdf
Capgemini UK plc,Archive Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/530687833721944,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Infosys Limited,AssistEdge RPA on Cloud,"1,000 a unit",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/472128692220502,n/a
CREDERA LIMITED,Cloud Architecture Services,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/821624901318148,n/a
Alchemmy Consulting Ltd,"Knowledge Management, Retention & Capability Development","435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/916247277356510,AlchemmyConsultingLtd_906112248088348-sfia-rate-card-2022-05-18-0956.pdf
Infosys Limited,Oracle Hyperion Enterprise Performance management (EPM) Cloud Implementation & Support,"180 to 1,400 a unit",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/680880006582353,InfosysLimited_902435204987987-sfia-rate-card-2022-05-18-0943.pdf
Capgemini UK plc,Oracle Cloud Human Capital Management (HCM) Advisory Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/347178500480002,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Cognizant Worldwide Limited,Tools on Demand Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/578102500183232,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
Slalom Consulting,Campaign and Marketing Automation,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/211531453098511,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
Tata Consultancy Services Limited,TCS Enterprise Agile Planning and Delivery Tool - TCS Jile,8 a user a month,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/252407209828714,n/a
Adatis,Database Administrator (DBA) as a Service,"1,750 an instance a month",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/839501641486581,n/a
Alchemmy Consulting Ltd,Digital & Cloud Organisational Design,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/500881419680563,AlchemmyConsultingLtd_906112248088348-sfia-rate-card-2022-05-18-0956.pdf
Adatis,"Azure DevOps Integration, Delivery and Support","495 to 1,595 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/488434194057148,Adatis_328689946610675-sfia-rate-card-2022-05-13-0855.pdf
Infosys Limited,"SAP SuccessFactors Cloud Implementation, Testing, Roll out & Support","732 to 1,179 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/563032460076468,InfosysLimited_716872809169992-sfia-rate-card-2022-05-17-1641.pdf
Tata Consultancy Services Limited,TCS Oracle SCM Cloud Service,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/700617849136866,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
Slalom Consulting,Intelligent Automation Process Optimisation,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/760574498977927,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
Cognizant Worldwide Limited,Azure Foundation Assessment,"20,437 a unit",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/306144832328955,CognizantWorldwideLimited_306144832328955-sfia-rate-card-2022-05-16-1635.pdf
CREDERA LIMITED,Cloud Operating Model Service,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/679871827400435,n/a
Slalom Consulting,Learning & Development,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/319987292832177,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
Infosys Limited,Infosys Cloud Quality Assurance & Transformation (ICQAT),"40,000 a licence a year",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/546377352658492,n/a
Adatis,Microsoft Data Analytics (Azure),"495 to 1,595 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/579961480187438,Adatis_328689946610675-sfia-rate-card-2022-05-13-0855.pdf
Capgemini UK plc,Agile Business Analysis and Product Ownership,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/669275057396454,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Cognizant Worldwide Limited,Information Architecture Advisory Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/459916642476023,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
CREDERA LIMITED,Rapid Prototyping,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/229713598682495,n/a
Infosys Limited,Identity and Access Management (IAM) Service,488 to 810 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/852766626494312,InfosysLimited_557146589679148-sfia-rate-card-2022-05-18-0950.pdf
Slalom Consulting,Build as a Service,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/288463524269496,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
Tata Consultancy Services Limited,"TCS Cyber Security - Governance, Risk & Compliance",127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/235510133366427,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
Capgemini UK plc,ITSM/ITIL compliant Service Desk solutions with Atlassian JIRA Service Desk,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/948165297778088,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Adatis,MLOps (Machine Learning Operations) Services,"495 to 1,595 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/196276863844556,Adatis_328689946610675-sfia-rate-card-2022-05-13-0855.pdf
Cognizant Worldwide Limited,Data Migration and Database Upgrade Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/303181945369952,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
CREDERA LIMITED,Data Engineering,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/687958078819696,n/a
Alchemmy Consulting Ltd,Effective Project Governance for Cloud Solutions and Digital Transformation,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/344719608287032,AlchemmyConsultingLtd_906112248088348-sfia-rate-card-2022-05-18-0956.pdf
CREDERA LIMITED,Cloud Engineering Service,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/402316672179081,n/a
Capgemini UK plc,CQRS and Event Sourcing Architecture Assessment Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/248797260706849,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Slalom Consulting,Product Mindset,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/271224224563723,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
Tata Consultancy Services Limited,TCS Cognitive Automation,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/558452848639739,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
Alchemmy Consulting Ltd,Digital Business Case Development for Cloud Solutions,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/643010450275213,AlchemmyConsultingLtd_906112248088348-sfia-rate-card-2022-05-18-0956.pdf
Infosys Limited,Emerging Technologies,488 to 810 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/521348186362190,InfosysLimited_557146589679148-sfia-rate-card-2022-05-18-0950.pdf
Cognizant Worldwide Limited,Cloud Platform Build - Landing Zone,"600 to 2,000 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/600303067476977,CognizantWorldwideLimited_810500948793388-sfia-rate-card-2022-05-18-0001.pdf
CREDERA LIMITED,GCP Data Platform Engineering,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/942990949095641,n/a
Slalom Consulting,Citizen-Centred Intelligent Connection,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/722285623649536,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
Tata Consultancy Services Limited,"TCS Digital Maturity Assessment and Roadmap for the NHS, Health, and Social Care",127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/902124149799967,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
Capgemini UK plc,Information Security Management System (ISMS),312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/841073705801804,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Cognizant Worldwide Limited,Middleware Management Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/973564390773205,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
Alchemmy Consulting Ltd,Technology Innovation Using Cloud Services,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/969915499050955,AlchemmyConsultingLtd_906112248088348-sfia-rate-card-2022-05-18-0956.pdf
Adatis,Microsoft Business Intelligence (Azure),"495 to 1,595 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/468591695859991,Adatis_328689946610675-sfia-rate-card-2022-05-13-0855.pdf
Infosys Limited,AI powered learning solution and Talent Transformation - Infosys Wingspan,"50,000 a licence a year",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/178600263138595,n/a
CREDERA LIMITED,AWS Data Platform Engineering,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/388122838822931,n/a
Slalom Consulting,Team Effectiveness,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/287635208767764,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
Cognizant Worldwide Limited,Business Intelligence Advisory Services for Healthcare,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/866482028522102,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
Tata Consultancy Services Limited,TCS Identity Management and Digital Public Services - TCS DigiGOV,"35,000 a licence a month",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/417220217906962,n/a
Infosys Limited,Housing Connectivity Solution,323 to 537 a unit,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/476948348721021,InfosysLimited_845176013034556-sfia-rate-card-2022-05-17-1447.pdf
Alchemmy Consulting Ltd,Digital PMO - Assessment & Improvement,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/241947356098842,AlchemmyConsultingLtd_906112248088348-sfia-rate-card-2022-05-18-0956.pdf
Capgemini UK plc,IRM Data Protection Assessment,"650 to 1,250 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/523053717977362,n/a
Adatis,Azure Business Intelligence,"495 to 1,595 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/653545605945922,Adatis_328689946610675-sfia-rate-card-2022-05-13-0855.pdf
CREDERA LIMITED,Cloud Service Management,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/456995199045725,n/a
Slalom Consulting,Digital Strategy and Readiness,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/523338927438723,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
Cognizant Worldwide Limited,CRM Contact Centre Implementation Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/764658429041816,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
Tata Consultancy Services Limited,TCS Data and Analytics Estate Modernisation Services,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/604283142965767,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
CREDERA LIMITED,Cloud Health Check Service,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/345515520084686,n/a
Infosys Limited,"Infosys Cloud Assessment, Roadmap & License Optimization","180 to 1,400 a person",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/944290012929136,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942.pdf
Capgemini UK plc,AWS –  Cloud Migration Services and Support,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/954310482253957,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Alchemmy Consulting Ltd,Digital & Cloud Programme & Project Management,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/673302496298302,AlchemmyConsultingLtd_906112248088348-sfia-rate-card-2022-05-18-0956.pdf
Adatis,Azure Synapse SQL Dedicated Pools (SQL Data Warehouse),"495 to 1,595 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/774152435067390,Adatis_328689946610675-sfia-rate-card-2022-05-13-0855.pdf
Slalom Consulting,Developing a Cloud Services Culture,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/610868897553502,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
BrightGen Limited  T/A Credera,"Business and Digital Transformation on Salesforce including Process Review, Implementation & Support","0 to 1,335 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/150608896500177,n/a
Cognizant Worldwide Limited,Test Automation Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/553575023400116,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
Alchemmy Consulting Ltd,Getting started with Blockchain,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/770582416399899,AlchemmyConsultingLtd_906112248088348-sfia-rate-card-2022-05-18-0956.pdf
Slalom Consulting,Mitigating Technical Debt with Cloud Solutions,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/156395896363205,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
Capgemini UK plc,IRM Infrastructure Assessment,"650 to 1,250 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/472949206069312,n/a
Adatis,Data Testing Services,"495 to 1,595 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/282309883275946,Adatis_328689946610675-sfia-rate-card-2022-05-13-0855.pdf
Infosys Limited,AI & Automation services for cloud hosted RPA or AI/ML platforms-- Product agnostic,"513 to 1,046 a unit a year",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/381588520295788,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503.pdf
Tata Consultancy Services Limited,TCS Human Resource Management (HRMS) - TCS DigiGOV,35 a user a month,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/524902533434407,n/a
Slalom Consulting,Agile Transformation,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/815321074533891,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
Capgemini UK plc,Digital Strategy and Roadmap Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/609292332669031,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Alchemmy Consulting Ltd,Customer Experience Transformation,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/640362558390829,AlchemmyConsultingLtd_906112248088348-sfia-rate-card-2022-05-18-0956.pdf
Adatis,Azure Data Lake,"495 to 1,595 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/651444508456123,Adatis_328689946610675-sfia-rate-card-2022-05-13-0855.pdf
