,Company,Project,Cost,URL,rate_card_id
655,Adatis,Azure Synapse Analytics,"495 to 1,595 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/196044211103877,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852.pdf
656,Alchemmy Consulting Ltd,Achieving Operational Transformation,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/867686620840392,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007.pdf
657,Baringa Partners,Baringa Cloud Digital Transformation Services,"465 to 2,975 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/161370016478773,
658,Infosys Limited,Digital Interaction,406 to 791 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/353295243095326,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006.pdf
659,Capgemini UK plc,Cyber Crisis and Incident Exercises,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/626436154476174,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
660,Tata Consultancy Services Limited,TCS Cyber Security - Digital Forensics & Incident Response,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/914760377143465,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
661,Slalom Consulting,Talent Optimisation,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/823622048442448,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
662,Adatis,Data Mesh Architecture,"495 to 1,595 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/971662183107074,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852.pdf
663,Cognizant Worldwide Limited,Infrastructure as a Service,37.70 an instance a month,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/664712865184608,
664,Baringa Partners,Baringa Cloud Project Portfolio Management & Enterprise Agile Planning Tool Implementation Services,"465 to 2,975 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/641549236326001,
665,Infosys Limited,Infosys Cloud Native Development Service,200 to 850 a unit,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/332214808708142,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001.pdf
666,Capgemini UK plc,IRM PCI DSS QSA Compliance Service,"650 to 1,250 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/981421730092930,
667,Alchemmy Consulting Ltd,PMO as a Service,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/236449940928205,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007.pdf
668,Adatis,Data Visualisation,"495 to 1,595 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/642194690350152,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852.pdf
669,Slalom Consulting,Data Governance,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/830759884602820,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
670,Tata Consultancy Services Limited,TCS Citizen Experience Services,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/903941227721804,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
671,Cognizant Worldwide Limited,Architecture Managed Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/577775077828399,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
672,Alchemmy Consulting Ltd,Digital & Cloud Engagement Strategy,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/221791064668545,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007.pdf
673,Baringa Partners,Baringa Cloud Data Insights and Visualisation Solutions & Services,"465 to 2,975 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/267971777337321,
674,Tata Consultancy Services Limited,TCS Microsoft 365 Implementation and Migration,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/519148539862701,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
675,Infosys Limited,Infosys Collections and Dispute Management System (ICDM),"200 to 1,100 a unit",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/749736667808632,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006.pdf
676,Cognizant Worldwide Limited,Azure Cloud Operate Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/629596811884258,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
677,Capgemini UK plc,Agile Project and Programme Management (PPM) Solutions,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/341356120411913,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
678,Slalom Consulting,AWS Enabled Business Optimisation,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/225171163587245,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
679,Baringa Partners,Baringa Cloud Data Strategy & Transformation Services,"465 to 2,975 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/776109160777218,
680,Infosys Limited,Employee Productivity Platform - Infosys Meridian,"50,000 a licence a year",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/478636655554816,
681,Billigence,Collibra,"127,000 a licence a year",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/333185928910519,
682,Alchemmy Consulting Ltd,Operating Model Design for Digital Transformation,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/764163256944398,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007.pdf
683,Cognizant Worldwide Limited,Big Data Setup & Migration Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/410550162892509,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
684,Tata Consultancy Services Limited,TCS Azure AutoOps,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/336976063775824,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
685,Infosys Limited,SAP S/4HANA Assessment,"732 to 1,179 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/562265848244905,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027.pdf
686,Cognizant Worldwide Limited,Production Assurance Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/277949106431090,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
687,Capgemini UK plc,"AI, ML & Data-Science Services (DSaaS)",312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/534284831440670,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
688,Baringa Partners,Baringa Cloud Data Management Services,"465 to 2,975 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/187682672230601,
689,Alchemmy Consulting Ltd,"Digital Service Design, Transition & Improvement","435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/954803995101582,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007.pdf
690,Billigence,Tableau Online,670.00 to 700.00 a unit a year,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/385575157733125,
691,Tata Consultancy Services Limited,TCS ERP on Cloud Platform - TCS PreCast,"95,000 a unit a month",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/500966755773093,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
692,Cognizant Worldwide Limited,Cloud Security Assessment for Public Sector Environments,"600 to 2,000 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/525184708450811,CognizantWorldwideLimited_810500948793388-sfia-rate-card-2022-05-18-0001.pdf
693,Infosys Limited,"Microservices, Containers & Orchestration consulting and implementation services",200 to 850 a unit,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/827349184637503,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001.pdf
694,Alchemmy Consulting Ltd,People Change for Agile Transformations,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/148365417119235,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007.pdf
695,Capgemini UK plc,Effective Information Delivery Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/343452723242915,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
696,Baringa Partners,Baringa Cloud Process Design and Optimisation Services,"465 to 2,975 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/645112902056416,
697,Billigence,Alteryx,"4,155 a user a year",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/886763466568906,
698,BJSS Limited,CIO Advisory,350 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/793793704459949,BJSSLimited_793793704459949-sfia-rate-card-2022-05-16-1851.pdf
699,Cognizant Worldwide Limited,Scaled DevOps/SRE Dojo Model,"600 to 2,000 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/276455141255492,CognizantWorldwideLimited_810500948793388-sfia-rate-card-2022-05-18-0001.pdf
700,Capgemini UK plc,Employee Engagement through the New Change Deal,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/106374360756203,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
701,Infosys Limited,Oracle  Cloud Upgrades & Support,"180 to 1,400 a unit",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/277793814992230,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942.pdf
702,Tata Consultancy Services Limited,TCS Enterprise Cloud & Data Centre Operations,56 to 543 a virtual machine a month,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/688969454292322,
703,Baringa Partners,Baringa Cloud Technology Transformation and Programme Management Delivery Services,"465 to 2,975 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/872589028308323,
704,Alchemmy Consulting Ltd,Data Strategy & Data-Driven Transformation,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/278644398014098,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007.pdf
705,BJSS Limited,Cloud Platform Delivery,350 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/248421688362255,BJSSLimited_793793704459949-sfia-rate-card-2022-05-16-1851.pdf
706,Cognizant Worldwide Limited,Master Data Management Support Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/973019526219733,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
707,Infosys Limited,Infosys Cloud Migration Testing Services,429 to 990 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/255776948705856,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930.pdf
708,Alchemmy Consulting Ltd,Business Process Design & Improvement for Digital Transformation,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/211073933522394,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007.pdf
709,Capgemini UK plc,Digital Service Management Support,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/681279270787506,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
710,Tata Consultancy Services Limited,TCS Talent Management - TCS CHROMA,0.30 a user a month,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/143622271275406,
711,BJSS Limited,Discovery,350 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/396384344673044,BJSSLimited_793793704459949-sfia-rate-card-2022-05-16-1851.pdf
712,Baringa Partners,Baringa Cloud Supply Chain Optimisation Services,"465 to 2,975 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/775648982964357,
713,Cognizant Worldwide Limited,Digital Twin Development,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/722039052750330,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
714,Tata Consultancy Services Limited,TCS Microsoft Power Platform Services,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/511583434011799,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
715,BJSS Limited,Data Operating Model,350 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/568274161029948,BJSSLimited_793793704459949-sfia-rate-card-2022-05-16-1851.pdf
716,Capgemini UK plc,Cybersecurity - Managed Security Service (MSS) End Point Security as a Service (EPSaaS),312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/531752138581154,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
717,Infosys Limited,"Analytics , Data mining and Analysis tools",618 to 915 a unit,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/837074353320410,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804.pdf
718,Baringa Partners,Baringa Cloud Operations Strategy Services,"465 to 2,975 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/109969795361325,
719,Alchemmy Consulting Ltd,Architecture Maturity Assessment,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/447978562692457,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007.pdf
720,Infosys Limited,Implementation of Oracle HCM (HR) Cloud,"180 to 1,400 a unit",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/551416791494808,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942.pdf
721,Tata Consultancy Services Limited,"TCS SAP for Data Modernisation, Analytics & AI for Google Cloud Platform (GCP)",127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/586024536030112,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
722,Baringa Partners,Baringa Cloud Agile Transformation Services,"465 to 2,975 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/975986144775266,
723,BJSS Limited,Cloud Cost Management and Optimisation Services,350 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/375249536083391,BJSSLimited_793793704459949-sfia-rate-card-2022-05-16-1851.pdf
724,Cognizant Worldwide Limited,Cloud Native Accelerators,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/367235022842049,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
725,Capgemini UK plc,Performance Testing,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/240011595141086,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
726,Alchemmy Consulting Ltd,Customer Experience Driven Operating Model Design,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/452559972904123,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007.pdf
727,The Boston Consulting Group UK LLP,DigitalBCG: Cyber Security,"58,000 a unit a week",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/900049186277490,
728,Tata Consultancy Services Limited,TCS Assurance Platform Services,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/844012037301282,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
729,Baringa Partners,Baringa Cloud Advisory and Assurance Services,"465 to 2,975 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/811132854311184,
730,Infosys Limited,"Infosys Oracle Cloud Implementation, Support and Maintenance","180 to 1,400 a person",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/377511608980110,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942.pdf
731,Cognizant Worldwide Limited,Digital Twin Development,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/420130665269245,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
732,Capgemini UK plc,Information Risk Management Lifecycle Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/457888232240983,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
733,BJSS Limited,Strategic Advisory,350 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/877595468741577,BJSSLimited_793793704459949-sfia-rate-card-2022-05-16-1851.pdf
734,Alchemmy Consulting Ltd,Change Management for Cloud Migration & Implementation,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/969115882764859,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007.pdf
735,The Boston Consulting Group UK LLP,DigitalBCG: Target Operating Model & Organisation Design for Cloud,"58,000 a unit a week",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/577766190905626,
736,Baringa Partners,Baringa Cloud Operations Enablement Services,"465 to 2,975 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/664494182336094,
737,Capgemini UK plc,User Acceptance Testing (UAT) Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/450748081050111,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
738,Tata Consultancy Services Limited,TCS Microsoft DevOps Services,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/887000066042083,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
739,BJSS Limited,Cloud Migration Services,350 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/898187280231486,BJSSLimited_793793704459949-sfia-rate-card-2022-05-16-1851.pdf
740,Infosys Limited,Digital Twin & Command Center Solutions for Smart Buildings,323 to 537 a unit,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/631897968296498,InfosysLimited_845176013034556-sfia-rate-card-2022-05-17-1447.pdf
741,Cognizant Worldwide Limited,CRM Marketing Automation Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/214260182551331,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
742,Alchemmy Consulting Ltd,Concept of Operations Services,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/928470917843371,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007.pdf
743,Capgemini UK plc,Customer Contact Centre Transformation Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/659768055133624,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
744,Alchemmy Consulting Ltd,Business Analysis for Digital & Cloud Solutions,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/952313588614277,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007.pdf
745,BJSS Limited,Alpha,350 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/717789074737837,BJSSLimited_793793704459949-sfia-rate-card-2022-05-16-1851.pdf
746,Baringa Partners,Baringa Cloud Based Operational Excellence Services,"465 to 2,975 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/188129892066857,
747,The Boston Consulting Group UK LLP,DigitalBCG: Sourcing and Procurement Advisory for Cloud,"58,000 a unit a week",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/492657082175705,
748,Cognizant Worldwide Limited,Web Services/API Testing Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/310733294826801,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
749,Tata Consultancy Services Limited,TCS Managed Cloud Services,0.01 a unit a second,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/123877071966744,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
750,Infosys Limited,Digital Commerce,406 to 791 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/984329866824859,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006.pdf
751,Capgemini UK plc,Connected Office,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/353404079012724,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
752,The Boston Consulting Group UK LLP,DigitalBCG: Cost Reduction to Support Cloud,"58,000 a unit a week",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/139933558514046,
753,Baringa Partners,"Baringa Cloud Data Science, AI and Machine Learning Solutions and Services","465 to 2,975 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/824617864181587,
754,Infosys Limited,Threat Detection and Response,488 to 810 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/715845689142119,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908.pdf
755,BJSS Limited,Data Strategy,350 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/995537471197999,BJSSLimited_793793704459949-sfia-rate-card-2022-05-16-1851.pdf
756,Tata Consultancy Services Limited,TCS IBM Cloud Services,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/991940526284241,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
757,Alchemmy Consulting Ltd,Cloud Technology and ICT Strategy Review,"435 to 1,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/266263812837125,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007.pdf
758,Cognizant Worldwide Limited,Virtual Contact Centres with Amazon Connect,"600 to 2,000 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/318346016260451,CognizantWorldwideLimited_810500948793388-sfia-rate-card-2022-05-18-0001.pdf
759,The Boston Consulting Group UK LLP,DigitalBCG: Cloud Implementation and Planning Support,"58,000 a unit a week",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/927998369453948,
760,BJSS Limited,Cloud Architecture Design Services,350 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/501234564826480,BJSSLimited_793793704459949-sfia-rate-card-2022-05-16-1851.pdf
761,Cognizant Worldwide Limited,Business Intelligence Proof Of Concept and Pilot Services for Health & Medical Insights,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/765019387936773,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
762,Infosys Limited,SAP Package Integration,"732 to 1,179 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/274989569812902,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027.pdf
763,Baringa Partners,Baringa Cloud Enabled Digital Workplace Advisory Services,"465 to 2,975 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/526964180314086,
764,Tata Consultancy Services Limited,TCS Microsoft Security Identity and Compliance,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/952013551989023,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
765,Capgemini UK plc,Locational Intelligence and GIS Architecture & Solutions,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/931519443736256,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
766,The Boston Consulting Group UK LLP,DigitalBCG: Analytics on the Cloud,"58,000 a unit a week",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/294584294954100,
767,Infosys Limited,Infosys Enterprise Data Privacy Suite - iEDPS,"60,000 a licence",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/602950524564410,
768,Tata Consultancy Services Limited,TCS DigiFleet - insights into assets and goods on the move,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/246001508983345,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
769,BJSS Limited,Service Design,350 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/614649793134173,BJSSLimited_793793704459949-sfia-rate-card-2022-05-16-1851.pdf
770,Capgemini UK plc,Oracle Cloud Security Assessment,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/944111390477905,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
771,Cognizant Worldwide Limited,Synthetic data simulation development,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/186765077631098,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
772,Baringa Partners,Baringa Cloud Agile Capability Services,"465 to 2,975 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/821265452638088,
773,Cognizant Worldwide Limited,Accessibility Quality Assurance (QA) and Testing Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/415764515868087,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
774,Capgemini UK plc,Data Science and AI: Border and Passenger Analytics Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/612394665755426,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
775,The Boston Consulting Group UK LLP,DigitalBCG: CO2 AI,"10,000 to 100,000 a licence a month",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/331057210569640,
776,Baringa Partners,Baringa Cloud Adaptive PMO Services,"465 to 2,975 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/220370119974656,
777,BJSS Limited,Conversational Design,350 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/919510919249833,BJSSLimited_793793704459949-sfia-rate-card-2022-05-16-1851.pdf
778,Infosys Limited,"Next-Gen Cloud Operations-monitoring, backups, provisioning, brokerage, security","180 to 1,400 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/338765127965883,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752.pdf
